exposure,model_form,outcome,transform,n_obs,n_subjects,beta1,se1,ci1_low,ci1_high,p1,beta2,se2,ci2_low,ci2_high,p2,alpha
vo2_median,quadratic,sdnn,raw,923,22,-5.893403664027241,0.6986377919701011,-7.262708574527226,-4.524098753527257,3.2960997052007595e-17,-0.11773373779270659,0.49568473680721487,-1.0892579696210634,0.8537904940356502,0.8122554410737137,0.996565218243787
vo2_median,linear,sdnn,raw,923,22,-5.9023709039096115,0.6904411138207919,-7.255610620444084,-4.549131187375139,1.2448736576786909e-17,,,,,,0.9966875464351302
vo2_median,quadratic,rmssd,log,923,22,-0.005624465074318734,0.03786927877437776,-0.07984688759260627,0.0685979574439688,0.8819299070324392,0.08419463356332253,0.01933699597779636,0.04629481787764578,0.12209444924899929,1.3363302072419066e-05,0.9958843863862763
vo2_median,linear,rmssd,log,923,22,0.005864435385043814,0.03819703995262298,-0.06900038723813476,0.0807292580082224,0.877979429118149,,,,,,0.9977131247028712
vo2_median,quadratic,lfpowfft,log,923,22,-0.9262642346294349,0.07653989327672046,-1.0762796688323464,-0.7762488004265233,1.0342326882272347e-33,0.10184543721070695,0.0321547386350084,0.03882330755379186,0.16486756686762205,0.001538329788589895,0.9790059824479225
vo2_median,linear,lfpowfft,log,923,22,-0.9107827678458489,0.08630964662033554,-1.0799465667400858,-0.7416189689516121,4.946180772957007e-26,,,,,,0.9788655400766935
vo2_median,quadratic,hfpowfft,log,923,22,-0.5518378013258136,0.07583763240130123,-0.7004768295051519,-0.40319877314647534,3.4241579731493565e-13,0.2265127241771258,0.03983769914281272,0.1484322686302707,0.3045931797239809,1.3013411631424708e-08,0.9857514562318864
vo2_median,linear,hfpowfft,log,923,22,-0.5091644600148045,0.07993358720991238,-0.6658314121013242,-0.35249750792828477,1.8922088410879732e-10,,,,,,0.9881279829650248
vo2_median,quadratic,lfhffft,log,923,22,-0.32028018810558545,0.07507135703225289,-0.4674173441593488,-0.17314303205182208,1.9870286160014326e-05,-0.12239801729071574,0.04322064547938318,-0.20710892581888068,-0.03768710876255081,0.004626739139404509,0.9897063583986917
vo2_median,linear,lfhffft,log,923,22,-0.3321845777789488,0.06847939859940867,-0.4664017327167524,-0.19796742284114516,1.2292184354580535e-06,,,,,,0.9914733386862343
vo2_median,quadratic,sampen,log,923,22,0.17983721757154617,0.05216286583983758,0.07759987919506983,0.2820745559480225,0.0005655700640765085,0.11366033417429752,0.030586417541504547,0.053712057376844466,0.17360861097175057,0.00020237000021054735,0.9930944066850927
vo2_median,linear,sampen,log,923,22,0.18656937727375222,0.04281827761610365,0.10264709526615151,0.27049165928135294,1.317147091683891e-05,,,,,,0.9981287875472558
vo2_end,quadratic,meanhr,raw,923,22,1.2433552806150416,0.18984888287739957,0.8712583076701755,1.6154522535599076,5.785228706179036e-11,0.120125626435434,0.08266218107918444,-0.0418892713632958,0.2821405242341638,0.14616505938386015,0.9690020881292934
vo2_end,linear,meanhr,raw,923,22,1.1557523068347186,0.21425157894910457,0.7358269284636336,1.5756776852058036,6.876436074728665e-08,,,,,,0.9690690216508899
vo2_end,quadratic,sdnn,raw,923,22,-0.6217303183484856,0.12289505153313147,-0.8626001932316172,-0.38086044346535397,4.213843996795554e-07,-0.12198876295831348,0.047783821863444084,-0.2156433328543415,-0.028334193062285462,0.010682089422588454,0.9867607876939966
vo2_end,linear,sdnn,raw,923,22,-0.5322094319205868,0.1255576583343954,-0.7782979202391871,-0.2861209436019865,2.2475257924470326e-05,,,,,,0.9868565987341726
vo2_end,quadratic,rmssd,log,923,22,-0.004930329760107097,0.007095504049849927,-0.01883726214997105,0.008976602629756858,0.4871476518344019,0.004937754320089345,0.0025349687135201803,-3.069306034604244e-05,0.009906201700524732,0.051432181634689406,0.9976421357722344
vo2_end,linear,rmssd,log,923,22,-0.008536087750782644,0.005666538930895189,-0.019642299972331315,0.0025701244707660286,0.13196390925062776,,,,,,0.9977797262516779
vo2_end,quadratic,lfpowfft,log,923,22,-0.10070479628592886,0.02052505153407496,-0.14093315807354437,-0.06047643449831335,9.274751024297581e-07,-0.009934716809699639,0.006827383763604536,-0.023316143094998056,0.0034467094755987783,0.14563384797722584,0.9679338817762492
vo2_end,linear,lfpowfft,log,923,22,-0.0934623691069111,0.022140637324764106,-0.136857220858212,-0.05006751735561019,2.428927009885002e-05,,,,,,0.9679994258520236
vo2_end,quadratic,hfpowfft,log,923,22,-0.047016006261618275,0.01371201324718618,-0.07389105838163931,-0.020140954141597243,0.0006062145247398754,0.010289786572055235,0.006625445482840445,-0.002695847955845626,0.023275421099956096,0.1204061975370764,0.9800520717746657
vo2_end,linear,hfpowfft,log,923,22,-0.054350908586677835,0.014745362476117196,-0.08325128797885589,-0.025450529194499777,0.00022783653638379825,,,,,,0.9801800243443335
vo2_end,quadratic,lfhffft,log,923,22,-0.028624507094004676,0.011770028553347456,-0.05169333915557377,-0.0055556750324355884,0.015016420045531305,-0.01640853474054975,0.005458107797459634,-0.027106229447307874,-0.005710840033791626,0.002644757978483015,0.9872449133803933
vo2_end,linear,lfhffft,log,923,22,-0.01658222408927537,0.009544438833353586,-0.03528898045529389,0.0021245322767431477,0.08232183879641482,,,,,,0.9874771300826717
vo2_end,quadratic,sampen,log,923,22,0.009927187067284366,0.009083498817457184,-0.007876143468543886,0.02773051760311262,0.274445867945286,0.004918860346563579,0.004478340074864243,-0.0038585249106927472,0.013696245603819905,0.272044325315436,0.9940397477440787
